Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.12.140-192.168.12.146-56342-21-6,192.168.12.140,56342,192.168.12.146,21,6,31/07/2024 05:02:47 PM,9771549,9,16,83.0,188.0,15.0,0.0,9.222222222222221,6.996030620605119,34.0,0.0,11.75,14.401388821915754,27.73357632449062,2.558448000414264,407147.87500000006,1075713.738180349,3525291.0,36.0,6802298.0,850287.25,1555459.4637312384,3578697.0,311.0,9771549.0,651436.6,1315561.7546149413,3525291.0,54.0,0,0,0,0,288,528,0.921041280149135,1.6374067202651288,0.0,34.0,10.423076923076923,12.086928731230534,146.09384615384616,0,1,0,0,0,0,0,0,1.0,10.84,9.222222222222221,11.75,0,0,0,0,0,0,9,83,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56342-21-6,192.168.12.140,56342,192.168.12.146,21,6,31/07/2024 05:02:56 PM,271,1,2,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,7.5,10.606601717798213,55350.55350553506,11070.110701107013,135.5,81.31727983645297,193.0,78.0,0,0,0,0,0,78.0,78.0,0.0,78.0,78.0,0,1,0,0,32,52,3690.036900369004,7380.073800738008,0.0,15.0,7.5,8.660254037844387,75.0,0,0,0,1,1,0,0,0,2.0,10.0,0.0,7.5,0,0,0,0,0,0,1,0,2,15,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56346-21-6,192.168.12.140,56346,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10265294,8,16,88.0,188.0,15.0,0.0,11.0,6.824326235712107,34.0,0.0,11.75,14.401388821915754,26.886711671385154,2.337974927946535,446317.1304347826,1157325.956162516,3550368.0,22.0,6821805.0,974543.5714285714,1656915.987166404,3595626.0,315.0,1.0265294E7,684352.9333333333,1389377.876354093,3550368.0,39.0,0,0,0,0,256,528,0.7793249759821783,1.5586499519643566,0.0,34.0,11.04,12.191116984646374,148.6233333333333,0,1,0,0,0,0,0,0,2.0,11.5,11.0,11.75,0,0,0,0,0,0,8,88,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56362-21-6,192.168.12.140,56362,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10278812,9,16,89.0,188.0,16.0,0.0,9.88888888888889,7.457285773732365,34.0,0.0,11.75,14.401388821915754,26.948639589867,2.432187688616155,428283.8333333334,1133545.1843697263,3547834.0,15.0,6834867.0,854358.375,1566684.983936003,3593696.0,272.0,1.0278812E7,685254.1333333333,1386478.3654533764,3547834.0,40.0,0,0,0,0,288,528,0.8755875679018159,1.5566001207143394,0.0,34.0,10.653846153846153,12.15546727260555,147.75538461538463,0,1,0,0,0,0,0,0,1.0,11.08,9.88888888888889,11.75,0,0,0,0,0,0,9,89,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56344-21-6,192.168.12.140,56344,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10317246,8,16,89.0,188.0,15.0,0.0,11.125,6.875162335745762,34.0,0.0,11.75,14.401388821915754,26.848250007802466,2.326202166741008,448575.9130434783,1162638.2825235697,3585232.0,11.0,6876252.0,982321.7142857142,1669858.050461447,3632588.0,313.0,1.0317246E7,687816.3999999999,1395692.0803339726,3585232.0,48.0,0,0,0,0,256,528,0.7754007222470026,1.5508014444940053,0.0,34.0,11.079999999999998,12.199453539674089,148.82666666666665,0,1,0,0,0,0,0,0,2.0,11.541666666666666,11.125,11.75,0,0,0,0,0,0,8,89,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56370-21-6,192.168.12.140,56370,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10291861,8,16,86.0,188.0,15.0,0.0,10.75,6.692212958783834,34.0,0.0,11.75,14.401388821915754,26.622979070549047,2.331939772602836,447472.2173913043,1160291.320891829,3583254.0,18.0,6832143.0,976020.4285714285,1657625.8887634908,3627611.0,334.0,1.0291861E7,686124.0666666667,1392889.9280151047,3583254.0,53.0,0,0,0,0,256,528,0.7773132575342787,1.5546265150685574,0.0,34.0,10.959999999999999,12.17059297377631,148.1233333333333,0,1,0,0,0,0,0,0,2.0,11.416666666666666,10.75,11.75,0,0,0,0,0,0,8,86,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56382-21-6,192.168.12.140,56382,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10200015,8,16,89.0,188.0,16.0,0.0,11.125,6.895909760761913,34.0,0.0,11.75,14.401388821915754,27.15682280859391,2.3529377162680642,443478.91304347815,1153585.9751016279,3536785.0,27.0,6732343.0,961763.2857142857,1643176.9245122608,3579668.0,332.0,1.0200015E7,680001.0000000001,1385240.5284195233,3536785.0,36.0,0,0,0,0,256,528,0.7843125720893548,1.5686251441787096,0.0,34.0,11.080000000000002,12.202868515230344,148.91000000000003,0,1,0,0,0,0,0,0,2.0,11.541666666666666,11.125,11.75,0,0,0,0,0,0,8,89,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56382-21-6,192.168.12.140,56382,192.168.12.146,21,6,31/07/2024 05:02:57 PM,2,1,1,0.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,7500000.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,500000.0,500000.0,0.0,15.0,10.0,8.660254037844387,75.0,0,0,0,1,1,0,0,0,1.0,15.0,0.0,15.0,0,0,0,0,0,0,1,0,1,15,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56364-21-6,192.168.12.140,56364,192.168.12.146,21,6,31/07/2024 05:02:47 PM,10375255,8,16,88.0,188.0,16.0,0.0,11.0,6.8452277432633934,34.0,0.0,11.75,14.401388821915754,26.601755812266784,2.313196157588416,451098.04347826086,1172602.8464459847,3603951.0,25.0,6866673.0,980953.2857142857,1674363.9568088448,3648228.0,421.0,1.0375255E7,691683.6666666666,1407989.1504261198,3603951.0,38.0,0,0,0,0,256,528,0.7710653858628054,1.5421307717256107,0.0,34.0,11.04,12.194534294784146,148.70666666666668,0,1,0,0,0,0,0,0,2.0,11.5,11.0,11.75,0,0,0,0,0,0,8,88,16,188,-1,510,6,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-56364-21-6,192.168.12.140,56364,192.168.12.146,21,6,31/07/2024 05:02:57 PM,219,1,2,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,7.5,10.606601717798213,68493.1506849315,13698.630136986301,109.5,112.42997820866105,189.0,30.0,0,0,0,0,0,30.0,30.0,0.0,30.0,30.0,0,1,0,0,32,52,4566.2100456621,9132.4200913242,0.0,15.0,7.5,8.660254037844387,75.0,0,0,0,1,1,0,0,0,2.0,10.0,0.0,7.5,0,0,0,0,0,0,1,0,2,15,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
