Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.12.140-192.168.12.146-49278-80-6,192.168.12.146,80,192.168.12.140,49278,6,28/07/2024 02:43:30 PM,283,3,3,10407.0,7240.0,7240.0,0.0,3469.0,3629.4356310589114,7240.0,0.0,2413.333333333333,4180.015948932891,6.235689045936396E7,21201.413427561838,56.6,44.09421730794187,101.0,1.0,230.0,115.0,19.79898987322333,129.0,101.0,154.0,77.0,107.48023074035522,153.0,1.0,0,1,0,0,96,96,10600.706713780919,10600.706713780919,0.0,7240.0,3555.2857142857138,3624.0468500598295,1.3133715571428573E7,0,0,0,1,1,0,0,0,1.0,4147.833333333333,3469.0,2413.3333333333335,0,0,0,0,0,0,3,10407,3,7240,-1,436,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49214-80-6,192.168.12.140,49214,192.168.12.146,80,6,28/07/2024 02:43:30 PM,5413,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.48087936449286,5413.0,0.0,5413.0,5413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,184.74043968224643,184.74043968224643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49268-80-6,192.168.12.146,80,192.168.12.140,49268,6,28/07/2024 02:43:30 PM,233,1,2,0.0,634.0,0.0,0.0,0.0,0.0,634.0,0.0,317.0,448.3056992722711,2721030.042918455,12875.536480686695,116.5,24.748737341529164,134.0,99.0,0,0,0,0,0,134.0,134.0,0.0,134.0,134.0,0,1,0,0,32,64,4291.845493562232,8583.690987124464,0.0,634.0,317.0,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,2.0,422.6666666666667,0.0,317.0,0,0,0,0,0,0,1,0,2,634,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49246-80-6,192.168.12.146,80,192.168.12.140,49246,6,28/07/2024 02:43:30 PM,134,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,4731343.2835820895,14925.373134328358,134.0,0.0,134.0,134.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,7462.686567164179,7462.686567164179,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49242-80-6,192.168.12.146,80,192.168.12.140,49242,6,28/07/2024 02:43:30 PM,109,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,5816513.76146789,18348.623853211007,109.0,0.0,109.0,109.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,9174.311926605504,9174.311926605504,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49258-80-6,192.168.12.146,80,192.168.12.140,49258,6,28/07/2024 02:43:30 PM,1806,3,4,10407.0,7240.0,7240.0,0.0,3469.0,3629.4356310589114,7240.0,0.0,1809.9999999999998,3620.0,9771317.829457363,3875.968992248062,301.0,215.35923476832843,555.0,1.0,1542.0,771.0,312.54119728445403,992.0,550.0,1251.0,417.0,369.26007095270944,706.0,1.0,0,1,0,0,96,128,1661.1295681063123,2214.8394241417495,0.0,7240.0,3110.8749999999995,3582.942583069317,1.283747755357143E7,0,0,0,1,1,0,0,0,1.0,3555.285714285714,3469.0,1810.0,0,0,0,0,0,0,3,10407,4,7240,-1,414,2,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49246-80-6,192.168.12.140,49246,192.168.12.146,80,6,28/07/2024 02:43:30 PM,10547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.6273821939888,10547.0,0.0,10547.0,10547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,94.8136910969944,94.8136910969944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49242-80-6,192.168.12.140,49242,192.168.12.146,80,6,28/07/2024 02:43:30 PM,9416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.40441801189462,9416.0,0.0,9416.0,9416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,106.20220900594731,106.20220900594731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49282-80-6,192.168.12.146,80,192.168.12.140,49282,6,28/07/2024 02:43:30 PM,123,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,5154471.544715446,16260.162601626014,123.0,0.0,123.0,123.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,8130.081300813007,8130.081300813007,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49286-80-6,192.168.12.146,80,192.168.12.140,49286,6,28/07/2024 02:43:30 PM,77,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,8233766.233766234,25974.025974025975,77.0,0.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,12987.012987012988,12987.012987012988,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
